AT4,AT7,Q400;B733,E70;E90;B737,B738,A320;B73J;B787,B788,A330,B767;B772,B773;B747
A;B;C;D;E;F;G;H
20;0;1;1;1;1;0;0;0
19;0;1;1;1;1;1;1;1
18;0;1;1;1;1;1;1;1
17;0;1;1;1;1;1;1;0
16;0;1;1;1;1;0;0;0
15;0;1;1;1;1;0;0;0
14;0;1;1;1;1;0;0;0
13;0;1;1;1;1;0;0;0
12;0;1;1;1;1;0;0;0
11;0;1;1;1;1;1;1;1
10;0;1;1;1;1;1;1;1
9;0;1;1;1;1;1;1;1
8;0;1;1;1;1;1;1;1
7;0;1;1;1;1;1;1;1
6;0;1;1;1;1;1;1;1
5;0;1;1;1;1;1;1;1
4L;0;1;1;1;1;1;1;0
4R;0;1;1;1;1;0;0;0
3C;1;1;1;1;1;0;0;0
3B;1;1;1;0;0;0;0;0
3A;1;1;0;0;0;0;0;0
2C;1;1;1;1;1;0;0;0
2B;1;1;1;0;0;0;0;0
2A;1;1;0;0;0;0;0;0
J1;1;1;1;1;1;1;1;1
J2A;1;1;1;1;1;0;0;0
J2B;1;1;1;1;1;0;0;0
J3A;1;1;1;1;1;0;0;0
J3B;1;1;1;1;1;0;0;0
J4A;1;1;1;1;1;0;0;0
J4B;1;1;1;1;1;0;0;0
J5;1;1;1;1;1;1;1;1
J6;1;1;1;1;1;0;0;0
J7;1;1;1;1;1;0;0;0
J8;1;1;1;1;1;0;0;0
J9;1;1;1;1;1;0;0;0
H1;1;1;1;1;1;0;0;0
H2;1;1;1;1;1;0;0;0
H3;1;1;1;1;1;0;0;0
H4;1;1;1;1;1;0;0;0
H5;1;1;1;1;1;0;0;0
H6;1;1;1;1;1;0;0;0
