Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type
Full;ET302;ADD;10:20;ETALK;ET303;ADD;11:35;738
Arr;ET304;ADD;12:20;ETAQO;;ADD;13:44;738
Park;;ADD;13:50;ETAQO;;ADD;15:59;738
Dep;;ADD;16:05;ETAQO;ET305;ADD;17:35;738
Full;ET306;ADD;18:15;ETARD;ET307;ADD;19:35;738
Arr;ET308;ADD;23:40;;;ADD;1:04;738
Park;;ADD;1:10;;;ADD;4:24;738
Dep;;ADD;4:30;;ET309;ADD;6:00;738
Full;KL565;AMS;20:25;;KL566;AMS;22:25;747
Full;KQ101;LHR;6:30;KZZ;KQ116;AMS;8:15;773
Full;KQ113;CDG;20:00;KZB;KQ112;CDG;23:05;788
Full;KQ117;AMS;6:20;KZX;KQ116;AMS;8:35;773
Full;KQ205;BOM;11:00;CYC;KQ586;NLA;12:30;738
Full;KQ211;BOM;20:55;KZC;KQ102;LHR;23:25;788
Arr;KQ251;SEZ;18:55;KQH;;;20:19;737
Park;;SEZ;20:25;KQH;;;22:23;737
Dep;;SEZ;22:29;KQH;;;23:59;737
Full;KQ257;TNR;20:15;KYF;KQ204;BOM;21:55;738
Full;KQ263;TNR;6:50;KQG;KQ512;DKR;8:10;737
Arr;KQ265;HAH;17:40;KYT;;;19:04;E90
Park;;HAH;19:10;KYT;;;22:23;E90
Dep;;HAH;22:29;KYT;;;23:59;E90
Full;KQ305;DXB;10:15;CYD;KQ762;JNB;12:00;738
Arr;KQ311;DXB;6:55;KZA;;DXB;8:19;788
Park;;DXB;8:25;KZA;;DXB;17:39;788
Dep;;DXB;17:45;KZA;KQ310;DXB;19:15;788
Arr;KQ331;JED;6:55;FFE;;LUN;8:19;E90
Park;;JED;8:25;FFE;;LUN;10:49;E90
Dep;;JED;10:55;FFE;KQ726;LUN;12:25;E90
Arr;KQ349;KRT;6:35;KYT;;HAH;7:59;E90
Park;;KRT;8:05;KYT;;HAH;10:24;E90
Dep;;KRT;10:30;KYT;KQ264;HAH;12:00;E90
Full;KQ351;JUB;12:10;FFG;KQ656;KIS;13:05;E90
Full;KQ353;JUB;18:10;FFF;KQ616;MBA;18:55;E90
Full;KQ411;EBB;11:10;KQF;KQ770;LAD;12:10;737
Full;KQ413;EBB;15:05;KYP;KQ444;KGL;16:10;E90
Full;KQ415;EBB;19:45;FFK;KQ348;KRT;22:50;E90
Full;KQ417;EBB;22:15;KYR;;;23:59;E90
Full;KQ419;EBB;6:35;FFC;KQ706;HRE;8:10;E90
