Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax
Arr;ET304;ADD;12.33;ETAQO;;ADD;13.73;738;D;162
Dep;;ADD;16.08;ETAQO;ET305;ADD;17.58;738;D;162
Arr;ET308;ADD;23.67;;;ADD;24.00;738;D;162
Dep;;ADD;4.50;;ET309;ADD;6.00;738;D;162
Full;KQ101;LHR;6.50;KZZ;KQ116;AMS;8.25;773;G;385
Full;KQ117;AMS;6.33;KZX;KQ116;AMS;8.58;773;G;385
Full;KQ211;BOM;20.92;KZC;KQ102;LHR;23.42;788;F;234
Park;;SEZ;20.42;KQH;;;22.38;737;D;0.0
Full;KQ257;TNR;20.25;KYF;KQ204;BOM;21.92;738;D;162
Arr;KQ265;HAH;17.67;KYT;;;19.07;E90;C;96
Dep;;HAH;22.48;KYT;;;23.98;E90;C;96
Arr;KQ311;DXB;6.92;KZA;;DXB;8.32;788;F;234
Dep;;DXB;17.75;KZA;KQ310;DXB;19.25;788;F;234
Park;;JED;8.42;FFE;;LUN;10.82;E90;C;0.0
Arr;KQ349;KRT;6.58;KYT;;HAH;7.98;E90;C;96
Dep;;KRT;10.50;KYT;KQ264;HAH;12.00;E90;C;96
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96
Full;KQ413;EBB;15.08;KYP;KQ444;KGL;16.17;E90;C;96
Full;KQ417;EBB;22.25;KYR;;;23.98;E90;C;96
Full;KQ433;JRO;10.83;KYQ;KQ780;HRE;13.00;E90;C;96
Full;KQ448;BJM;13.00;FFF;KQ352;JUB;13.83;E90;C;96
Full;KQ481;DAR;11.17;KYS;KQ482;DAR;12.25;E90;C;96
Full;KQ485;DAR;19.33;FFJ;KQ488;DAR;22.83;E90;C;96
Full;KQ489;DAR;6.67;FFK;KQ654;KIS;9.75;E90;C;96
Full;KQ499;ZNZ;7.00;KYR;KQ494;ZNZ;8.00;E90;C;96
Arr;KQ521;ABJ;6.33;KYD;;EBB;7.73;738;D;162
Dep;;ABJ;21.42;KYD;KQ418;EBB;22.92;738;D;162
Full;KQ533;LOS;19.92;CYA;KQ764;JNB;21.75;738;D;162
Full;KQ555;FIH;20.42;KZG;KQ886;CAN;23.25;788;F;234
Full;KQ603;MBA;11.17;KQH;KQ250;SEZ;11.83;737;D;126
Full;KQ609;MBA;17.25;KYR;KQ416;EBB;19.17;E90;C;96
Full;KQ617;MBA;21.58;FFF;;;23.98;E90;C;96
Full;KQ625;MBA;6.25;KQF;KQ410;EBB;8.00;737;D;126
Full;KQ643;MYD;19.33;FFG;KQ498;ZNZ;23.00;E90;C;96
Full;KQ657;KIS;15.42;FFG;KQ642;MYD;16.50;E90;C;96
Full;KQ706;HRE;16.75;FFC;KQ670;KIS;17.50;E90;C;96
Full;KQ726;LUN;20.42;FFE;KQ406;ADD;23.17;E90;C;96
Full;KQ734;LLW;6.25;FFJ;KQ640;MYD;10.00;E90;C;96
Full;KQ761;JNB;17.67;FFA;KQ486;DAR;18.83;E90;C;96
Full;KQ765;JNB;6.92;CYB;KQ502;ACC;9.00;738;D;162
Full;KQ780;HRE;22.00;KYQ;;;23.98;E90;C;96
Full;KQ8605;MBA;14.08;KQB;KQ8606;MBA;14.92;73J;E;126
Park;;MBA;19.17;KQB;;;22.38;73J;E;0.0
Arr;KQ861;BKK;6.75;KZG;;FIH;8.15;788;F;234
Dep;;BKK;10.58;KZG;KQ554;FIH;12.08;788;F;234
Full;KQ8613;MBA;22.83;QUE;;;23.98;AT7;A;72
Full;KQ8655;KIS;19.67;BWG;;;23.98;AT7;A;72
Full;KQ8665;EDL;19.17;QUE;KQ8612;MBA;20.33;AT7;A;72
Full;KQ8691;UKU;11.50;QHW;KQ8652;KIS;12.00;AT7;A;72
Full;KQ871;HAN;6.75;KZC;KQ210;BOM;7.83;788;F;234
Full;PW713;ZNZ;18.58;PWA;PW712;ZNZ;19.08;AT7;A;72
Full;PW723;JRO;7.00;PWC;PW722;JRO;8.50;AT7;A;72
Full;PW727;JRO;15.25;PWC;PW726;JRO;16.83;AT7;A;72
Full;WB450;EBB;10.67;9XRWJ;WB450;KGL;11.42;737;D;126
Full;WB460;KGL;20.92;9XRWI;WB460;EBB;21.58;CRJ;A;90
Park;;EBB;23.75;KYS;;DAR;24.00;E90;C;0.0
Arr;KQ444;KGL;21.25;FFF;;BJM;22.65;E90;C;96
Dep;;KGL;6.33;FFF;KQ448;BJM;7.83;E90;C;96
Park;;MBA;0.25;FFB;;ABV;6.48;E90;C;0.0
Arr;KQ487;DAR;22.25;KYQ;;JRO;23.65;E90;C;96
Dep;;DAR;6.58;KYQ;KQ432;JRO;8.08;E90;C;96
Park;;JRO;20.83;PWA;;ZNZ;24.00;AT7;A;0.0
Arr;KQ257;TNR;20.25;FFC;;HRE;21.65;E90;C;96
Dep;;TNR;6.67;FFC;KQ706;HRE;8.17;E90;C;96
Park;;COO;22.42;CYA;;LOS;24.00;738;D;0.0
Arr;KQ485;DAR;19.33;KYR;;LLW;20.73;E90;C;96
Dep;;DAR;6.83;KYR;KQ730;LLW;8.33;E90;C;96
Park;;SEZ;20.42;KQH;;MBA;24.00;737;D;0.0
Arr;ET308;ADD;23.67;ETAPF;;ADD;24.00;738;D;162
Dep;;ADD;4.50;ETAPF;ET309;ADD;6.00;738;D;162
Park;;EDL;20.67;QUE;;UKU;24.00;AT7;A;0.0
Arr;KQ8603;MBA;12.42;KQB;;MBA;13.82;73J;E;126
Dep;;MBA;9.83;KQB;KQ8604;MBA;11.33;73J;E;126
Park;;LUN;22.17;FFD;;MPM;24.00;E90;C;0.0
Arr;KQ503;ACC;22.00;KYF;;TNR;23.40;738;D;162
Dep;;ACC;11.25;KYF;KQ256;TNR;12.75;738;D;162
Full;EK719;DXB;14.50;;EK720;DUB;16.67;773;G;385
Full;G9734;SHJ;13.10;;G9735;SHJ;13.67;320;D;150
Full;MK534;MRU;11.83;;MK535;MRU;13.08;332;F;233
Full;QR1339;DOH;13.17;;QR1340;DOH;17.58;320;D;150
Full;SN463;BRU;21.75;;SN463;BRU;22.75;332;F;233
Full;TK607;IST;7.42;;TK608;IST;10.58;330;F;268
Park;;CAN;8.50;;;CAN;11.98;330;F;0.0
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Park;;JNB;0.17;;;JNB;6.90;320;D;0.0
Full;TK6510;FIH;18.50;;TK6492;IST;21.00;330;F;268
