Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax
Arr;SA180;JNB;22.67;;;JNB;24.00;320;D;150
Park;;SEZ;20.42;KQH;;;22.38;737;D;0.0
Full;KQ709;HRE;6.33;FFG;KQ350;JUB;7.92;E90;C;96
Full;KQ305;DXB;10.25;CYD;KQ762;JNB;12.00;738;D;162
Full;KQ481;DAR;11.17;KYS;KQ482;DAR;12.25;E90;C;96
Full;KQ734;LLW;6.25;FFJ;KQ640;MYD;10.00;E90;C;96
Full;PW725;JRO;19.33;PWC;;;23.98;AT7;A;72
Dep;;ADD;4.50;;ET309;ADD;6.00;738;D;162
Full;SV431;JED;11.53;;SV430;JED;13.17;320;D;150
Full;KQ8665;EDL;19.17;QUE;KQ8612;MBA;20.33;AT7;A;72
Full;KQ734;LLW;6.25;FFJ;KQ640;MYD;10.00;E90;C;96
Full;KQ489;DAR;6.67;FFK;KQ654;KIS;9.75;E90;C;96
Full;KQ617;MBA;21.58;FFF;;;23.98;E90;C;96
Dep;;KRT;10.50;KYT;KQ264;HAH;12.00;E90;C;96
Dep;;LUN;10.67;FFD;KQ740;MPM;12.17;E90;C;96
Dep;;JRO;6.67;PWA;PW710;ZNZ;8.17;AT7;A;72
Arr;KQ619;MBA;22.75;FFB;;ABV;24.00;E90;C;96
Full;KQ417;EBB;22.25;KYR;;;23.98;E90;C;96
Full;EK721;DXB;19.00;;EK722;DUB;22.83;773;G;385
Full;PW715;ZNZ;21.25;PWB;PW728;JRO;22.33;AT7;A;72
Full;ET306;ADD;18.25;ETARD;ET307;ADD;19.58;738;D;162
Dep;;JNB;7.00;;SA181;JNB;8.50;320;D;150
Full;WB450;EBB;10.67;9XRWJ;WB450;KGL;11.42;737;D;126
Arr;KQ521;ABJ;6.33;KYD;;EBB;7.73;738;D;162
Full;PW723;JRO;7.00;PWC;PW722;JRO;8.50;AT7;A;72
Full;KQ419;EBB;6.58;FFC;KQ706;HRE;8.17;E90;C;96
Full;KQ353;JUB;18.17;FFF;KQ616;MBA;18.92;E90;C;96
Full;KQ586;NLA;20.08;CYC;;;23.98;738;D;162
Dep;;JRO;6.67;PWA;PW710;ZNZ;8.17;AT7;A;72
Full;KQ643;MYD;19.33;FFG;KQ498;ZNZ;23.00;E90;C;96
Full;KQ657;KIS;15.42;FFG;KQ642;MYD;16.50;E90;C;96
Park;;BKK;8.25;KZG;;FIH;10.48;788;F;0.0
Full;KQ487;DAR;22.25;FFA;KQ262;TNR;22.67;E90;C;96
Full;KQ8665;EDL;19.17;QUE;KQ8612;MBA;20.33;AT7;A;72
Dep;;DAR;6.58;KYQ;KQ432;JRO;8.08;E90;C;96
Dep;;KRT;10.50;KYT;KQ264;HAH;12.00;E90;C;96
Full;KQ771;LAD;21.25;KQF;KQ624;MBA;22.92;737;D;126
Park;;ABJ;7.83;KYD;;EBB;21.32;738;D;0.0
Full;KQ505;ACC;6.25;KYE;KQ522;NSI;9.83;738;D;162
Park;;DAR;20.83;KYR;;LLW;24.00;E90;C;0.0
Full;KQ617;MBA;21.58;FFF;;;23.98;E90;C;96
Full;KQ499;ZNZ;7.00;KYR;KQ494;ZNZ;8.00;E90;C;96
Full;KQ433;JRO;10.83;KYQ;KQ780;HRE;13.00;E90;C;96
Dep;;SEZ;7.00;KQH;KQ602;MBA;8.50;737;D;126
Park;;SEZ;20.42;KQH;;;22.38;737;D;0.0
Dep;;SEZ;7.00;KQH;KQ602;MBA;8.50;737;D;126
Dep;;MBA;9.83;KQB;KQ8604;MBA;11.33;73J;E;126
Park;;ACC;23.50;KYF;;TNR;24.00;738;D;0.0
Park;;MBA;0.25;FFB;;ABV;6.48;E90;C;0.0
Full;KQ726;LUN;20.42;FFE;KQ406;ADD;23.17;E90;C;96
Full;PW727;JRO;15.25;PWC;PW726;JRO;16.83;AT7;A;72
Arr;KQ417;EBB;22.25;KYS;;DAR;23.65;E90;C;96
Full;KQ8605;MBA;14.08;KQB;KQ8606;MBA;14.92;73J;E;126
Full;KQ8681;MYD;16.33;BWG;KQ8654;KIS;17.67;AT7;A;72
Full;KQ481;DAR;11.17;KYS;KQ482;DAR;12.25;E90;C;96
Full;KQ351;JUB;12.17;FFG;KQ656;KIS;13.08;E90;C;96
Arr;KQ331;JED;6.92;FFE;;LUN;8.32;E90;C;96
Dep;;SEZ;7.00;KQH;KQ602;MBA;8.50;737;D;126
Full;KQ741;MPM;21.08;FFD;;;23.98;E90;C;96
Park;;ADD;1.17;ETAPF;;ADD;4.40;738;D;0.0
Full;KQ444;KGL;21.25;KYP;;;23.98;E90;C;96
Full;KQ411;EBB;11.17;KQF;KQ770;LAD;12.17;737;D;126
Full;KQ607;MBA;15.75;FFK;KQ414;EBB;16.67;E90;C;96
Arr;ET308;ADD;23.67;ETAPF;;ADD;24.00;738;D;162
Full;KQ671;KIS;19.83;FFC;KQ466;KGL;23.33;E90;C;96
Dep;;MBA;22.48;KQB;;;23.98;73J;E;126
