Flight Type;Fl No.;Origin;ETA;Reg. No.;Fl No.;Dest;ETD;AC Type;Class;Pax
Full;BA065;LHR;20.30;;BA064;LHR;23.15;772;G;302
Full;EK719;DXB;14.30;;EK720;DUB;16.40;773;G;385
Full;ET302;ADD;10.20;AOB;ET303;ADD;11.35;738;D;162
Arr;ET304;ADD;12.20;;;ADD;13.44;738;D;162
Park;;ADD;13.50;;;ADD;15.59;738;D;0
Dep;;ADD;16.05;;ET305;ADD;17.35;738;D;162
Full;ET306;ADD;18.15;ALM;ET307;ADD;19.35;738;D;162
Arr;ET308;ADD;23.40;ALM;;ADD;1.04;737;D;126
Park;;ADD;1.10;ALM;;ADD;4.24;737;D;0
Dep;;ADD;4.30;ALM;ET309;ADD;6.00;737;D;126
Arr;ET308;ADD;23.45;;;ADD;1.09;738;D;162
Park;;ADD;1.15;;;ADD;4.24;738;D;0
Dep;;ADD;4.30;;ET309;ADD;6.00;738;D;162
Full;EY641;AUH;12.47;;EY642;AUH;13.40;320;D;150
Full;G9734;SHJ;13.06;;G9735;SHJ;13.40;320;D;150
Full;KL565;AMS;20.25;;KL566;AMS;22.25;747;H;429
Arr;KQ101;LHR;6.30;KZC;;DXB;7.54;788;F;234
Park;;LHR;8.00;KZC;;DXB;17.39;788;F;0
Dep;;LHR;17.45;KZC;KQ310;DXB;19.15;788;F;234
Full;KQ117;AMS;6.10;KZY;KQ116;AMS;8.35;773;G;385
Full;KQ205;BOM;10.30;CYB;KQ704;LUN;12.05;738;D;162
Full;KQ251;SEZ;18.25;FFA;KQ330;JED;21.30;E90;C;96
Arr;KQ252;HAH;18.25;KQH;;;19.49;737;D;126
Park;;HAH;19.55;KQH;;;22.23;737;D;0
Dep;;HAH;22.29;KQH;;;23.59;737;D;126
Arr;KQ257;TNR;20.15;FFC;;ABV;21.39;E90;C;96
Park;;TNR;21.45;FFC;;ABV;6.19;E90;C;0
Dep;;TNR;6.25;FFC;KQ536;ABV;7.55;E90;C;96
Full;KQ257;TNR;20.15;FFB;KQ708;HRE;23.00;E90;C;96
Arr;KQ311;DXB;6.55;KZB;;FIH;8.19;788;F;234
Park;;DXB;8.25;KZB;;FIH;10.29;788;F;0
Dep;;DXB;10.35;KZB;KQ554;FIH;12.05;788;F;234
Full;KQ349;KRT;6.35;FFJ;KQ402;JIB;8.15;E90;C;96
Full;KQ351;JUB;12.10;FFH;KQ608;MBA;14.15;E90;C;96
Full;KQ353;JUB;18.00;KYR;KQ624;MBA;22.55;E90;C;96
Full;KQ403;ADD;17.30;FFJ;KQ416;EBB;19.10;E90;C;96
Full;KQ411;EBB;11.05;KQG;KQ412;EBB;12.00;737;D;126
Arr;KQ413;EBB;15.05;KQG;;;16.29;737;D;126
Park;;EBB;16.35;KQG;;;22.23;737;D;0
Dep;;EBB;22.29;KQG;;;23.59;737;D;126
Full;KQ415;EBB;19.25;KYQ;KQ488;DAR;22.55;E90;C;96
Full;KQ417;EBB;22.15;FFJ;KQ466;KGL;23.20;E90;C;96
Full;KQ419;EBB;6.35;FFF;KQ432;JRO;8.00;E90;C;96
Arr;KQ433;JRO;10.45;FFF;;BJM;12.09;E90;C;96
Park;;JRO;12.15;FFF;;BJM;14.34;E90;C;0
Dep;;JRO;14.40;FFF;KQ444;BJM;16.10;E90;C;96
Full;KQ437;JRO;22.00;KYT;;;23.59;E90;C;96
Arr;KQ444;BJM;21.15;KYP;;KIS;22.39;E90;C;96
Park;;BJM;22.45;KYP;;KIS;5.14;E90;C;0
Dep;;BJM;5.20;KYP;KQ650;KIS;6.50;E90;C;96
Full;KQ444;BJM;21.15;FFF;KQ498;ZNZ;23.00;E90;C;96
Arr;KQ447;KGL;6.05;KYT;;APL;7.29;E90;C;96
Park;;KGL;7.35;KYT;;APL;10.49;E90;C;0
Dep;;KGL;10.55;KYT;KQ748;APL;12.25;E90;C;96
Arr;KQ448;BJM;12.50;KYS;;DAR;14.14;E90;C;96
Park;;BJM;14.20;KYS;;DAR;17.14;E90;C;0
Dep;;BJM;17.20;KYS;KQ486;DAR;18.50;E90;C;96
Full;KQ481;DAR;11.10;KYD;KQ586;NLA;12.30;738;D;162
Full;KQ483;DAR;15.30;KYQ;KQ414;EBB;16.20;E90;C;96
Arr;KQ485;DAR;19.20;KYS;;BJM;20.44;E90;C;96
Park;;DAR;20.50;KYS;;BJM;6.09;E90;C;0
Dep;;DAR;6.15;KYS;KQ448;BJM;7.45;E90;C;96
Full;KQ485;DAR;19.20;FFG;KQ734;LUN;22.45;E90;C;96
Arr;KQ487;DAR;22.15;FFB;;TNR;23.39;E90;C;96
Park;;DAR;23.45;FFB;;TNR;11.09;E90;C;0
Dep;;DAR;11.15;FFB;KQ256;TNR;12.45;E90;C;96
Full;KQ487;DAR;22.15;KYS;;;23.59;E90;C;96
Full;KQ489;DAR;6.40;KYQ;KQ494;ZNZ;8.05;E90;C;96
Full;KQ495;ZNZ;11.15;KYQ;KQ482;DAR;12.05;E90;C;96
Full;KQ509;ACC;6.10;CYA;KQ760;JNB;8.30;738;D;162
Full;KQ521;ABJ;6.20;KYE;KQ504;FNA;10.35;738;D;162
Full;KQ522;NSI;21.40;KYF;;;23.59;738;D;162
Arr;KQ524;DLA;18.20;KYF;;NSI;19.44;738;D;162
Park;;DLA;19.50;KYF;;NSI;9.44;738;D;0
Dep;;DLA;9.50;KYF;KQ522;NSI;11.20;738;D;162
Arr;KQ533;LOS;19.50;CYD;;COO;21.14;738;D;162
Park;;LOS;21.20;CYD;;COO;6.19;738;D;0
Dep;;LOS;6.25;CYD;KQ542;COO;7.55;738;D;162
Arr;KQ537;ABV;18.25;FFC;;;19.49;E90;C;96
Park;;ABV;19.55;FFC;;;22.23;E90;C;0
Dep;;ABV;22.29;FFC;;;23.59;E90;C;96
Full;KQ542;LOS;21.00;CYD;;;23.59;738;D;162
Full;KQ555;FIH;20.25;KZB;KQ112;CDG;23.05;788;F;234
Arr;KQ584;FBM;20.05;KQH;;HAH;21.29;737;D;126
Park;;FBM;21.35;KQH;;HAH;9.54;737;D;0
Dep;;FBM;10.00;KQH;KQ252;HAH;11.30;737;D;126
Full;KQ586;NLA;20.05;KYD;;;23.59;738;D;162
Arr;KQ601;MBA;9.30;FFK;;;10.54;E90;C;96
Park;;MBA;11.00;FFK;;;22.23;E90;C;0
Dep;;MBA;22.29;FFK;;;23.59;E90;C;96
Full;KQ603;MBA;11.10;CYC;KQ762;JNB;12.05;738;D;162
Full;KQ605;MBA;12.55;KYR;KQ352;JUB;13.40;E90;C;96
Full;KQ607;MBA;15.35;FFE;KQ610;MBA;16.25;E90;C;96
Full;KQ609;MBA;16.55;FFH;KQ616;MBA;18.50;E90;C;96
Full;KQ611;MBA;19.05;FFE;KQ618;MBA;19.50;E90;C;96
Arr;KQ617;MBA;21.30;FFK;;MBA;22.54;E90;C;96
Park;;MBA;23.00;FFK;;MBA;5.14;E90;C;0
Dep;;MBA;5.20;FFK;KQ600;MBA;6.50;E90;C;96
Full;KQ617;MBA;21.30;FFH;KQ418;EBB;22.55;E90;C;96
Arr;KQ619;MBA;22.40;FFH;;JUB;0.04;E90;C;96
Park;;MBA;0.10;FFH;;JUB;6.14;E90;C;0
Dep;;MBA;6.20;FFH;KQ350;JUB;7.50;E90;C;96
