Bay;A;B;C;D
20;2;16;17;22
19;3;17;18;23
18;4;18;19;24
17;3;18;19;24
16;0;17;18;20
15;5;9;10;12
14;5;9;10;12
13;6;8;9;11
12;7;7;8;10
11;8;6;7;9
10;9;5;6;8
9;10;4;5;7
8;11;3;4;6
7;12;2;3;5
6;13;1;2;4
5;14;0;1;3
4L;15;2;0;2
4R;15;2;0;2
3C;18;4;3;2
3B;18;4;2;1
3A;18;4;1;0
2C;19;5;3;3
2B;19;5;2;2
2A;19;5;1;1
J1;25;19;20;25
J2A;24;19;21;26
J2B;24;19;21;26
J3A;23;19;22;28
J3B;23;19;22;28
J4A;22;20;23;29
J4B;22;20;23;29
J5;21;21;24;30
J6;22;22;25;31
J7;23;23;26;32
J8;24;24;27;33
J9;24;25;28;33
H1;200;200;200;200
H2;200;200;200;200
H3;200;200;200;200
H4;200;200;200;200
H5;200;200;200;200
H6;200;200;200;200
